Accreditation code,Power station name,State,Postcode,Installed capacity (MW),Fuel Source (s),Accreditation start date,Approval date
SRPXQLC8,Cronos Steel - Solar w SGU � QLD,QLD,4131,0.174,Solar,26/07/2024,26/09/2024
SRPXNSZ2,Space Urban 110 Somersby Falls Rd - Solar - NSW,NSW,2250,0.199,Solar,26/08/2024,26/09/2024
SRPVWAM2,Tropicana-Solar-WA,WA,6431,24.135,Solar,16/09/2024,26/09/2024
BEBGSA09,Blue Lake Milling - Agricultural Waste - SA,SA,5268,1.200,Agricultural Waste,30/01/2023,1/10/2024
SRPXNSZ8,Clean Peak Energy - Cessnock - Solar - NSW,NSW,2325,0.459,Solar,9/09/2024,1/10/2024
SRPVSAW0,Redmud Green Energy 192 Pty Ltd - Solar - SA,SA,5254,6.326,Solar,4/09/2024,8/10/2024
SRPXNSW0,Newington College - Solar w SGU - NSW,NSW,2048,0.251,Solar,7/05/2024,8/10/2024
SRPXNSZ5,ISPT Fletcher Village - Solar w SGU - NSW,NSW,2287,0.150,Solar,28/08/2024,8/10/2024
SRPVWAJ7,Wesley College South Perth - Solar  - WA,WA,6151,0.599,Solar,15/12/2023,9/10/2024
SRPYNS14,Woolworths Fairy Meadow 1293 - Solar w SGU - NSW,NSW,2519,0.266,Solar,2/10/2024,9/10/2024
SRPXVCN7,BB Truss - Solar - VIC,VIC,3550,0.200,Solar,9/09/2024,9/10/2024
SRPYNS10,Mandole Orchard - Solar - NSW,NSW,2680,0.196,Solar,20/09/2024,9/10/2024
BEBGQL37,Urban Utilities Luggage Point Cogen - Biogas - QLD,QLD,4008,2.242,Sewage Gas and Biomass-Based Components of Sewage,13/12/2023,11/10/2024
SRPVWAM3,Jundee - Solar - WA,WA,6646,17.083,Solar,6/09/2024,11/10/2024
SRPXVCF8,Redmud Green Energy 184 Pty Ltd - Solar - VIC,VIC,3688,6.695,Solar,18/09/2024,11/10/2024
SRPVSAW8,Woodcroft Town Centre - Solar w SGU - SA,SA,5162,0.563,Solar,16/09/2024,11/10/2024
SRPXNSY8,Warrawong-Solar-NSW,NSW,2502,0.528,Solar,5/08/2024,11/10/2024
SRPXVCN8,Goodman Port Melbourne Store A1 & A2 - Solar - VIC,VIC,3207,0.400,Solar,8/09/2024,11/10/2024
SRPYNS12,CHARTER HALL-PC2004-MINTO-SOLAR-W SGU-NSW,NSW,2566,0.230,Solar,30/09/2024,11/10/2024
SRPXNSX3,Bishop Druitt College - Solar W/SGU - NSW,NSW,2450,0.211,Solar,3/06/2024,11/10/2024
SRPXNSX9,SANDVIK ORANGE - SOLAR - NSW,NSW,2800,0.150,Solar,14/06/2024,11/10/2024
SRPXQLD6,Kilcoy Cuisine - Solar - QLD,QLD,4551,1.155,Solar,13/09/2024,18/10/2024
SRPXQLD7,Mackay South Water Recycling Facility - Solar - QLD,QLD,4740,0.199,Solar,13/09/2024,21/10/2024
SRPVNSZ9,Sydney Lambs Pty Ltd - Solar w SGU - NSW,NSW,2140,0.160,Solar,4/07/2024,21/10/2024
SRPVWAM5,Bunnings Baldivis - Solar -WA,WA,6171,0.413,Solar,24/09/2024,22/10/2024
SRPVSAJ5,Agile Energy RFSA - 250kW Solar - SA,SA,5084,0.251,Solar,10/07/2024,22/10/2024
SRPXVCO1,DHL Mt Atkinson WHB - Solar w SGU -VIC,VIC,3029,0.200,Solar,13/09/2024,22/10/2024
SRPXNSZ7,Grong Grong Solar Farm - Solar - NSW,NSW,2652,1.755,Solar,9/09/2024,23/10/2024
SRPYNS05,AU186 Oakdale West 5A - Solar w SGU- NSW,NSW,2178,0.651,Solar,8/09/2024,23/10/2024
SRPYNS06,Charter Hall Cospak - Solar w SGU - NSW,NSW,2566,0.500,Solar,11/09/2024,23/10/2024
SRPYNS17,Gate Gourmet - Solar w SGU - NSW,NSW,2020,0.435,Solar,14/10/2024,23/10/2024
SRPYNS02,AU723 Goodman Amazon Centennary DC - Solar  w SGU - NSW,NSW,2170,0.410,Solar,8/09/2024,23/10/2024
WD00QL08,MacIntyre Wind Farm - Wind - QLD,QLD,4352,923.400,Wind,1/10/2024,24/10/2024
SRPVAC45,Belconnen Market - Solar w SGU - ACT,ACT,2617,0.540,Solar,20/08/2024,25/10/2024
SRPYNS11,Singleton Diggers Club - Solar w SGU - NSW,NSW,2330,0.187,Solar,30/09/2024,25/10/2024
SRPYNS15,The George Hospital - Solar - NSW,NSW,2557,0.121,Solar,10/10/2024,25/10/2024
